entropy,dataset
2.3195025738796183e-07,Test(in-house)
8.087589640914793e-11,Test(in-house)
6.352126665625291e-11,Test(in-house)
2.980785763939828e-13,Test(in-house)
0.047083664531546554,Test(in-house)
7.026117505010755e-13,Test(in-house)
0.1563570252152059,Test(in-house)
0.22130381461003004,Test(in-house)
0.00021160813405441762,Test(in-house)
2.0320284835250092e-13,Test(in-house)
1.5015082272656706e-14,Test(in-house)
2.961504981832357e-14,Test(in-house)
3.888895899463032e-15,Test(in-house)
1.5291311041232205e-07,Test(in-house)
1.181922503955834e-16,Test(in-house)
0.00012997127845563837,Test(in-house)
0.0001065630064339009,Test(in-house)
5.2169347215267165e-06,Test(in-house)
0.059650114162673025,Test(in-house)
9.64628671083157e-05,Test(in-house)
2.9611976039977764e-08,Test(in-house)
1.8980605427616427e-13,Test(in-house)
0.9964766781816577,Test(in-house)
1.068950763782344e-06,Test(in-house)
0.10934301805459934,Test(in-house)
2.188614871115107e-09,Test(in-house)
7.145328698704102e-16,Test(in-house)
0.6466580945010572,Test(in-house)
6.533199761521027e-07,Test(in-house)
1.0814106410613742e-07,Test(in-house)
1.2288375371233885e-10,Test(in-house)
3.059655628732064e-09,Test(in-house)
9.85271316235527e-11,Test(in-house)
8.678285539187921e-14,Test(in-house)
1.7835442020474503e-11,Test(in-house)
2.590478919566066e-10,Test(in-house)
0.16083262450343133,Test(in-house)
4.268965251013538e-10,Test(in-house)
2.206719171648821e-05,Test(in-house)
7.661670073504892e-06,Test(in-house)
2.5623558286760904e-13,Test(in-house)
0.013913981247617651,Test(in-house)
3.966495967812982e-09,Test(in-house)
4.863653634305543e-11,Test(in-house)
1.7550764511159967e-09,Test(in-house)
7.011604428610643e-13,Test(in-house)
2.790134853310094e-08,Test(in-house)
9.566208146525038e-17,Test(in-house)
5.606149691936204e-05,Test(in-house)
1.611238514114931e-07,Test(in-house)
3.7327931023732152e-06,Test(in-house)
2.2169828440275533e-07,Test(in-house)
0.5735526279246017,Test(in-house)
3.204931762167983e-08,Test(in-house)
1.079623373309476e-17,Test(in-house)
2.165271328828088e-08,Test(in-house)
2.1649906803811087e-09,Test(in-house)
1.511708608710055e-07,Test(in-house)
2.2037903976904687e-09,Test(in-house)
1.094290097355087e-06,Test(in-house)
0.0004310480581743857,Test(in-house)
4.7428192224508286e-07,Test(in-house)
1.8225808602426808e-06,Test(in-house)
1.2082218737793367e-15,Test(in-house)
1.9649665145347293e-05,Test(in-house)
4.0515189922120093e-22,Test(in-house)
3.389427414048448e-12,Test(in-house)
0.6518004555428469,Test(in-house)
2.2159102622363672e-10,Test(in-house)
0.02919712036853699,Test(in-house)
0.00034478150749232687,Test(in-house)
6.365732949098832e-13,Test(in-house)
7.169736696496402e-13,Test(in-house)
2.2630343762556497e-08,Test(in-house)
0.6086540432194709,Test(in-house)
8.801312556878287e-10,Test(in-house)
5.183389411722791e-10,Test(in-house)
4.0577654821378474e-10,Test(in-house)
4.772881590077966e-08,Test(in-house)
1.0560157821388545e-05,Test(in-house)
5.0993232327758964e-05,Test(in-house)
3.507495882585682e-08,Test(in-house)
5.334132651853046e-15,Test(in-house)
0.09553824842798934,Test(in-house)
0.9939657690843998,Test(in-house)
1.5431421823543848e-06,Test(in-house)
1.2877450300031465e-05,Test(in-house)
1.1816796932184796e-10,Test(in-house)
0.5366212296866727,Test(in-house)
4.3540461257611306e-10,Test(in-house)
0.41466307226375076,Test(in-house)
0.0005884326681507919,Test(in-house)
7.649720749126379e-12,Test(in-house)
2.029120428957161e-14,Test(in-house)
1.1905083922574858e-05,Test(in-house)
0.837015180368302,Test(in-house)
0.0001087846170034327,Test(in-house)
3.9254329943124487e-10,Test(in-house)
2.1050429820330934e-14,Test(in-house)
5.037216966812732e-15,Test(in-house)
4.624809361711118e-13,Test(in-house)
4.240048598798299e-16,Test(in-house)
3.2410084651182977e-07,Test(in-house)
8.842972141518767e-11,Test(in-house)
2.820338147135063e-13,Test(in-house)
1.0116729581664241e-09,Test(in-house)
3.6206130626540264e-11,Test(in-house)
5.807057047966671e-16,Test(in-house)
1.2224922767891142e-06,Test(in-house)
2.0546209003985648e-06,Test(in-house)
1.4106648324900246e-12,Test(in-house)
4.725609951771669e-14,Test(in-house)
1.1173686591451444e-10,Test(in-house)
0.00033719530146223266,Test(in-house)
8.960602694730534e-07,Test(in-house)
1.9414310163596376e-14,Test(in-house)
3.4585792416915515e-09,Test(in-house)
0.00020360267744990406,Test(in-house)
0.07473130602478001,Test(in-house)
0.0015490518791063427,Test(in-house)
7.973209493822036e-10,Test(in-house)
0.0032510592725582535,Test(in-house)
7.616713153277358e-08,Test(in-house)
3.689088633774949e-09,Test(in-house)
2.382043339653398e-05,Test(in-house)
3.220915608239574e-07,Test(in-house)
1.584846617933051e-11,Test(in-house)
1.4590949455616333e-10,Test(in-house)
0.07782032545703542,Test(in-house)
3.2546290516937177e-11,Test(in-house)
1.2273478157269972e-11,Test(in-house)
0.32489279597686693,Test(in-house)
3.8373636010471704e-11,Test(in-house)
2.3715644167806912e-15,Test(in-house)
1.1042092426504645e-09,Test(in-house)
3.8327699385186986e-17,Test(in-house)
7.1670622449670035e-12,Test(in-house)
4.917897868740533e-05,Test(in-house)
0.00011070192678826257,Test(in-house)
9.823365782824586e-11,Test(in-house)
1.425470886100461e-06,Test(in-house)
3.055820407836738e-11,Test(in-house)
0.6227851009960836,Test(in-house)
0.6143414201130246,Test(in-house)
1.4548123853764662e-10,Test(in-house)
0.15950529565077518,Test(in-house)
4.2396028388434783e-07,Test(in-house)
5.81251420517031e-14,Test(in-house)
0.4650116652549967,Test(in-house)
0.7334416044093705,Test(in-house)
0.5359954314616507,Test(in-house)
1.428667656798554e-13,Test(in-house)
0.00017446439886940348,Test(in-house)
4.766682482659143e-10,Test(in-house)
5.705155947678716e-08,Test(in-house)
2.8010461472653305e-16,Test(in-house)
0.0049824624068582155,Test(in-house)
1.2842336683238062e-09,Test(in-house)
6.701647621794864e-09,Test(in-house)
1.2153776966312338e-08,Test(in-house)
1.5202402413176353e-13,Test(in-house)
2.0354558638999972e-07,Test(in-house)
6.899989318190726e-13,Test(in-house)
2.806508843698837e-08,Test(in-house)
0.503547925410342,Test(in-house)
3.402813146131683e-10,Test(in-house)
2.041279427418849e-08,Test(in-house)
2.2026285735195177e-11,Test(in-house)
2.307717291474346e-05,Test(in-house)
1.0395173974365774e-09,Test(in-house)
2.3505252886614361e-07,Test(in-house)
4.6108825993318866e-08,Test(in-house)
1.8125160683584632e-08,Test(in-house)
2.6272064185352204e-12,Test(in-house)
3.2267357459969337e-09,Test(in-house)
2.1667023561285143e-15,Test(in-house)
8.16784751081354e-13,Test(in-house)
2.3079584988230398e-11,Test(in-house)
0.850525668406164,Test(in-house)
0.4219630447417537,Test(in-house)
1.609984196065704e-10,Test(in-house)
1.0129634675069393e-06,Test(in-house)
4.996783458429077e-08,Test(in-house)
3.416552283816048e-14,Test(in-house)
8.717083296607456e-13,Test(in-house)
1.1075976796744632e-12,Test(in-house)
0.00021072129179047056,Test(in-house)
7.388847066533222e-07,Test(in-house)
5.678081631638426e-12,Test(in-house)
5.291849104442732e-16,Test(in-house)
0.0030332101202027698,Test(in-house)
0.0010624016867565647,Test(in-house)
2.280158081617479e-09,Test(in-house)
1.4363745951112224e-11,Test(in-house)
2.301804805594498e-15,Test(in-house)
3.884334827430743e-19,Test(in-house)
6.574637941177195e-12,Test(in-house)
1.6807279989275967e-11,Test(in-house)
3.6388965643084276e-08,Test(in-house)
1.210992879177671e-09,Test(in-house)
5.384418036471988e-06,Test(in-house)
3.0861584293803867e-07,Test(in-house)
2.9326609408639356e-06,Test(in-house)
0.03944440674865587,Test(in-house)
3.5945387731908955e-09,Test(in-house)
7.721869520318604e-11,Test(in-house)
5.071588880398265e-10,Test(in-house)
0.17112073730111804,Test(in-house)
8.858245531157032e-11,Test(in-house)
3.9241984092222595e-08,Test(in-house)
1.70735948099985e-07,Test(in-house)
1.2968486758265677e-07,Test(in-house)
2.8871796496578325e-10,Test(in-house)
2.059435617156826e-08,Test(in-house)
1.484055132199901e-05,Test(in-house)
2.666242247217225e-15,Test(in-house)
6.39634931855196e-05,Test(in-house)
0.9208853401196766,Test(in-house)
3.073442315623836e-09,Test(in-house)
9.931766151675163e-08,Test(in-house)
